Episode : 479 / 10000, Score : 554, Max Tile : 256, Average: 542.7, Loss : 0.000
Episode : 480 / 10000, Score : 550, Max Tile : 256, Average: 542.9, Loss : 0.000
Episode : 481 / 10000, Score : 550, Max Tile : 256, Average: 543.0, Loss : 0.000
Episode : 482 / 10000, Score : 548, Max Tile : 256, Average: 543.1, Loss : 0.000
Episode : 483 / 10000, Score : 550, Max Tile : 256, Average: 543.1, Loss : 0.000
Episode : 484 / 10000, Score : 552, Max Tile : 256, Average: 543.2, Loss : 0.000
Episode : 485 / 10000, Score : 552, Max Tile : 256, Average: 543.2, Loss : 0.000
Episode : 486 / 10000, Score : 552, Max Tile : 256, Average: 543.3, Loss : 0.000
Episode : 487 / 10000, Score : 550, Max Tile : 256, Average: 543.4, Loss : 0.000
Episode : 488 / 10000, Score : 558, Max Tile : 256, Average: 543.6, Loss : 0.000
Episode : 489 / 10000, Score : 556, Max Tile : 256, Average: 543.7, Loss : 0.000
Episode : 490 / 10000, Score : 552, Max Tile : 256, Average: 543.8, Loss : 0.000
Episode : 491 / 10000, Score : 552, Max Tile : 256, Average: 544.0, Loss : 0.000
Episode : 492 / 10000, Score : 556, Max Tile : 256, Average: 544.2, Loss : 0.000
Episode : 493 / 10000, Score : 554, Max Tile : 256, Average: 544.3, Loss : 0.000
Episode : 494 / 10000, Score : 558, Max Tile : 256, Average: 544.5, Loss : 0.000
Episode : 495 / 10000, Score : 556, Max Tile : 256, Average: 544.7, Loss : 0.000
Episode : 496 / 10000, Score : 556, Max Tile : 256, Average: 544.8, Loss : 0.000
Episode : 497 / 10000, Score : 550, Max Tile : 256, Average: 544.9, Loss : 0.000
Episode : 498 / 10000, Score : 554, Max Tile : 256, Average: 545.0, Loss : 0.000
Episode : 499 / 10000, Score : 554, Max Tile : 256, Average: 545.1, Loss : 0.000
Episode : 500 / 10000, Score : 556, Max Tile : 256, Average: 545.2, Loss : 0.000
Episode : 501 / 10000, Score : 560, Max Tile : 256, Average: 545.4, Loss : 0.000
Episode : 502 / 10000, Score : 552, Max Tile : 256, Average: 545.5, Loss : 0.000
Episode : 503 / 10000, Score : 560, Max Tile : 256, Average: 545.6, Loss : 0.000
Episode : 504 / 10000, Score : 558, Max Tile : 256, Average: 545.8, Loss : 0.000
Episode : 505 / 10000, Score : 562, Max Tile : 256, Average: 546.0, Loss : 0.000
Episode : 506 / 10000, Score : 554, Max Tile : 256, Average: 546.0, Loss : 0.000
Episode : 507 / 10000, Score : 558, Max Tile : 256, Average: 546.2, Loss : 0.000
Episode : 508 / 10000, Score : 556, Max Tile : 256, Average: 546.3, Loss : 0.000
Episode : 509 / 10000, Score : 564, Max Tile : 256, Average: 546.0, Loss : 0.000
Episode : 510 / 10000, Score : 558, Max Tile : 256, Average: 546.1, Loss : 0.000
Episode : 511 / 10000, Score : 562, Max Tile : 256, Average: 546.3, Loss : 0.000
Episode : 512 / 10000, Score : 558, Max Tile : 256, Average: 546.4, Loss : 0.000
Episode : 513 / 10000, Score : 562, Max Tile : 256, Average: 546.6, Loss : 0.000
Episode : 514 / 10000, Score : 542, Max Tile : 256, Average: 546.5, Loss : 0.000
Episode : 515 / 10000, Score : 558, Max Tile : 256, Average: 546.5, Loss : 0.000
Episode : 516 / 10000, Score : 562, Max Tile : 256, Average: 546.6, Loss : 0.000
Episode : 517 / 10000, Score : 558, Max Tile : 256, Average: 546.8, Loss : 0.000
